"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 17 17:32:10 CST 2020","Fri Apr 17 17:32:49 CST 2020","39215","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_07_Update_Check_Version","单个作业进行编辑,验证版本"
"passed","Fri Apr 17 17:37:01 CST 2020","Fri Apr 17 17:37:44 CST 2020","43392","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_11_Spark_result_check","workflow结果校验"
"passed","Fri Apr 17 17:38:51 CST 2020","Fri Apr 17 17:39:40 CST 2020","48473","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_02_CtrateSparks","一次创建多个spark作业,校验信息"
"passed","Fri Apr 17 17:33:46 CST 2020","Fri Apr 17 17:34:30 CST 2020","43802","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_03_Update_Hive_Name_and_checkVersion","创建workflow,重命名,未生成新版本"
"passed","Fri Apr 17 17:32:10 CST 2020","Fri Apr 17 17:36:15 CST 2020","244846","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_09_Check_timed_execution","workflow定时执行spark"
"passed","Fri Apr 17 17:39:27 CST 2020","Fri Apr 17 17:39:50 CST 2020","23789","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_04_CreateStruct","成功建表,验证字段, 参数对应正确"
"passed","Fri Apr 17 17:38:47 CST 2020","Fri Apr 17 17:39:36 CST 2020","49312","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_14_Touch_dagNode_set_dagnode_as_a_success","rerun dagNode"
"passed","Fri Apr 17 17:35:11 CST 2020","Fri Apr 17 17:36:01 CST 2020","50051","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_16_Hive_dagNode_set_dagnode_as_a_success","rerun dagNode"
"passed","Fri Apr 17 17:33:41 CST 2020","Fri Apr 17 17:34:26 CST 2020","44946","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_14_Distcp_dagNode_set_dagnode_as_a_success","rerun dagNode"
"passed","Fri Apr 17 17:39:00 CST 2020","Fri Apr 17 17:40:12 CST 2020","72171","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_16_Touch_Update_DispatchType","修改调度方式 版本加1"
